Instance;Opts;best value;Best gap;Best method
gap1_1;336;336.0;0.0;VND
gap1_2;327;327.0;0.0;VND
gap1_3;339;339.0;0.0;VND
gap1_4;341;341.0;0.0;VND
gap1_5;326;326.0;0.0;VND
gap2_1;434;434.0;0.0;VND
gap2_2;436;436.0;0.0;VND
gap2_3;420;420.0;0.0;VND
gap2_4;419;419.0;0.0;VND
gap2_5;428;428.0;0.0;TABOU
gap3_1;580;580.0;0.0;TABOU
gap3_2;564;564.0;0.0;TABOU
gap3_3;573;573.0;0.0;VND
gap3_4;570;570.0;0.0;VND
gap3_5;564;564.0;0.0;VND
gap4_1;656;656.0;0.0;VND
gap4_2;644;643.0;0.16;VND
gap4_3;673;673.0;0.0;VND
gap4_4;647;647.0;0.0;VND
gap4_5;664;661.0;0.45;VND
gap5_1;563;563.0;0.0;VND
gap5_2;558;558.0;0.0;VND
gap5_3;564;564.0;0.0;TABOU
gap5_4;568;568.0;0.0;TABOU
gap5_5;559;559.0;0.0;TABOU
gap6_1;761;761.0;0.0;VND
gap6_2;759;759.0;0.0;TABOU
gap6_3;758;758.0;0.0;VND
gap6_4;752;752.0;0.0;VND
gap6_5;747;747.0;0.0;VND
gap7_1;942;941.0;0.11;TABOU
gap7_2;949;948.0;0.11;TABOU
gap7_3;968;968.0;0.0;VND
gap7_4;945;943.0;0.21;TABOU
gap7_5;951;951.0;0.0;VND
gap8_1;1133;1133.0;0.0;VND
gap8_2;1134;1134.0;0.0;VND
gap8_3;1141;1138.0;0.26;VND
gap8_4;1117;1115.0;0.18;VND
gap8_5;1127;1125.0;0.18;VND
gap9_1;709;709.0;0.0;TABOU
gap9_2;717;715.0;0.28;TABOU
gap9_3;712;712.0;0.0;TABOU
gap9_4;723;723.0;0.0;TABOU
gap9_5;706;706.0;0.0;VND
gap10_1;958;957.0;0.1;TABOU
gap10_2;963;962.0;0.1;TABOU
gap10_3;960;956.0;0.42;TABOU
gap10_4;947;945.0;0.21;TABOU
gap10_5;947;944.0;0.32;VND
gap11_1;1139;1139.0;0.0;TABOU
gap11_2;1178;1178.0;0.0;TABOU
gap11_3;1195;1195.0;0.0;VND
gap11_4;1171;1171.0;0.0;VND
gap11_5;1171;1171.0;0.0;TABOU
gap12_1;1451;1448.0;0.21;TABOU
gap12_2;1449;1446.0;0.21;TABOU
gap12_3;1433;1432.0;0.07;VND
gap12_4;1447;1443.0;0.28;TABOU
gap12_5;1446;1443.0;0.21;TABOU
